Numéro de boucle;Jour;00;01;02;03;04;05;06;07;08;09;10;11;12;13;14;15;16;17;18;19;20;21;22;23;Total;Probabilité de présence d'anomalies;Jour de la semaine;Boucle de comptage;Date formatée;Vacances
0996;2024-12-30;1;5;0;1;0;0;1;4;9;6;5;3;6;1;6;6;11;17;12;15;3;3;2;0;117;;1;0996 - Van Iseghem vers Nord;2024-12-30;Vacances de Noël
1057;2024-12-30;;;;;;;;;;;;;;;;;;;;;;;;;0;Forte;1;1057 -;2024-12-30;Vacances de Noël
8673;2024-12-30;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;Forte;1;8673 -;2024-12-30;Vacances de Noël
9998;2024-12-30;;;;;;;;;;;;;;;;;;;;;;;;;0;Forte;1;9998 -;2024-12-30;Vacances de Noël
9999;2024-12-30;;;;;;;;;;;;;;;;;;;;;;;;;0;Forte;1;9999 -;2024-12-30;Vacances de Noël
0674;2024-12-30;2;1;1;0;0;2;5;8;44;28;19;17;20;24;28;26;30;54;57;34;18;10;10;4;442;;1;0674 - Pont Haudaudine vers Sud;2024-12-30;Vacances de Noël
0727;2024-12-30;0;0;0;0;1;4;4;16;39;18;9;12;17;13;11;7;12;26;22;12;5;5;2;1;236;;1;0727 - Pont Tabarly vers Nord;2024-12-30;Vacances de Noël
0745;2024-12-30;5;2;0;0;2;2;0;4;21;8;17;20;22;22;20;18;18;29;35;26;27;6;9;6;319;;1;0745 - Calvaire vers Ouest;2024-12-30;Vacances de Noël
0680;2024-12-30;0;1;1;0;0;2;1;7;18;13;15;11;14;14;8;15;12;15;12;11;11;9;5;1;196;;1;0680 - Stalingrad vers ouest;2024-12-30;Vacances de Noël
0664;2024-12-30;2;3;0;1;3;1;7;16;57;30;9;15;35;19;18;27;34;79;55;22;23;12;18;11;497;;1;0664 - Bonduelle vers sud;2024-12-30;Vacances de Noël
0666;2024-12-30;1;0;0;1;0;2;2;1;3;3;3;2;2;7;8;4;10;10;18;9;4;6;1;0;97;;1;0666 - Pont Audibert vers Sud;2024-12-30;Vacances de Noël
0672;2024-12-30;1;0;1;0;1;1;5;25;70;27;12;4;23;16;19;21;30;40;26;24;9;3;8;1;367;;1;0672 - Pont de Pornic vers Nord;2024-12-30;Vacances de Noël
0675;2024-12-30;0;0;0;0;1;1;5;15;49;36;25;18;33;22;21;31;26;48;44;27;24;8;2;6;442;;1;0675 - Pont Haudaudine vers Nord;2024-12-30;Vacances de Noël
0676;2024-12-30;2;0;0;0;0;0;3;10;40;24;12;14;11;16;16;18;16;43;40;16;7;5;0;2;295;;1;0676 - Pont Willy Brandt vers Beaulieu;2024-12-30;Vacances de Noël
0943;2024-12-30;1;0;2;0;0;0;1;4;10;8;2;1;5;6;3;3;9;15;8;2;4;1;2;0;87;;1;0943 - Magellan vers Ouest;2024-12-30;Vacances de Noël
0950;2024-12-30;0;0;1;2;2;4;5;25;40;25;12;13;12;19;13;14;15;17;14;8;3;2;2;1;249;;1;0950 - avenue de la Libération vers Nord;2024-12-30;Vacances de Noël
0979;2024-12-30;0;0;2;0;2;1;5;13;52;27;13;16;10;19;31;26;28;32;30;16;10;4;8;4;349;;1;0979 - pont des 3 Continents vers Sud;2024-12-30;Vacances de Noël
0668;2024-12-30;0;2;0;2;2;1;5;9;32;12;7;13;20;19;15;21;37;63;42;27;15;12;7;6;369;;1;0668 - De Gaulle vers sud;2024-12-30;Vacances de Noël
0960;2024-12-30;1;0;0;0;0;0;0;0;6;4;1;0;3;1;4;4;1;5;4;0;1;0;0;0;35;;1;0960 - Sorinières Vers Nord;2024-12-30;Vacances de Noël
0980;2024-12-30;0;0;0;0;0;0;1;1;0;1;1;2;2;1;1;4;2;1;3;0;0;0;0;0;20;;1;0980 - Pont Tabarly vers Sud;2024-12-30;Vacances de Noël
